node_id;label;entity_id
135;Оролцогч;China Second Metallurgy Group Co.,Ltd ХХК
136;Оролцогч;China State Construction Engineering Corp.,Ltd ХХК
137;Оролцогч;China constraction fifth enjineering division corp,.ltd ХХК
138;Оролцогч;Chongqing Dafang Architectural Decoration Design Engineering ХХК
139;ҮйлАжиллагааныЧиглэл;Барилгын засал чимэглэл, засвар үйлчилгээ
140;Оролцогч;Chongqing liyuan chemical Co.,Ltd)  ХХК
141;Оролцогч;Cleary Gottlieb Steen and Hamilton LLP  ХХН
142;ҮйлАжиллагааныЧиглэл;Хуулийн зөвлөгөө өгөх үйл ажиллагаа
143;Оролцогч;Commexim Group a.s. ХК
144;ҮйлАжиллагааныЧиглэл;Үнэт болон өнгөт металлын худалдаа
145;Оролцогч;Crrc Dalian Co., Ltd ХХК
146;ҮйлАжиллагааныЧиглэл;Машины эд анги засварлах, үйлдвэрлэх
147;Оролцогч;DB Engineering & Consulting GmbH  ХХК
148;ҮйлАжиллагааныЧиглэл;Төслийн  зөвлөх үйлчилгээ
149;Оролцогч;DMT GmbH & Co.KG ХХК
150;ҮйлАжиллагааныЧиглэл;Геологи, уул уурхайн зөвлөх үйлчилгээ
151;Оролцогч;DR-AZ Group Co.,ltd ХХК
152;ҮйлАжиллагааныЧиглэл;Эрчим хүчний эх үүсвэр, шугам сүлжээ барьж байгуулах
153;Оролцогч;DSP Prerov, s.r.o. ХХК
154;ҮйлАжиллагааныЧиглэл;Уул урхайн тоног төхөөрөмжийн худалдаа
155;Оролцогч;Da Xing Co Ltd ХХК
156;ҮйлАжиллагааныЧиглэл;Хатуу болон хайрган хучилттай зам, ган, төмөр бетон гүүр барих, замын байгууламжид засвар хийх
157;Оролцогч;Dadi Engineering Development (Group) Co Ltd ХХК
158;Оролцогч;Daeati Co.,Ltd ХК
159;Оролцогч;Daehan consultants Co.,Ldt ХХК
160;Оролцогч;Dag Karl ХХК
161;ҮйлАжиллагааныЧиглэл;Тоног төхөөрөмжийн үйлдвэрлэл, угсралт, засвар үйлчилгээ
162;Оролцогч;Dailan lanbo machine building company ХХК
163;Оролцогч;Dalian Dongheng Mechanichal and Electrical Installation Engineering co.,LTD ХК
164;ҮйлАжиллагааныЧиглэл;Архитектур, инженерийн үйл ажиллагаа болон холбогдох техникийн зөвлөх үйлчилгээ
165;Оролцогч;Derun Environmental Protection Technology (Tianjin) Co Ltd ХХК
166;ҮйлАжиллагааныЧиглэл;Даралтад сав, зуух, шугам хоолой, ЦТП-ны засвар угсралт түүний туршилт тохируулга, дагалдах үйлчилгээ
167;Оролцогч;Distritech Бусад
168;ҮйлАжиллагааныЧиглэл;Олон улсын худалдаа
169;Оролцогч;Dniprovagonmash JSC ХК
170;ҮйлАжиллагааныЧиглэл;Вагон, вагоны сэлбэгийн худалдаа, түрээс
171;Оролцогч;Dobersek Engineering gmbH ХХК
172;Оролцогч;Dohwa Engineering Co., Ltd. ХК
173;Оролцогч;Dollvet Biotechnology Joint Stock Company ХК
174;ҮйлАжиллагааныЧиглэл;Мал эмнэлгийн эм бэлдмэл үйлдвэрлэх, малын өвчнийг оношлох, эмчлэх, малын эм импортлох
175;Оролцогч;Dudko Yuriy Салбар
176;Оролцогч;ERLIAN CITY KHAN UUL TRADING CO., LTD ХК
177;Оролцогч;EUROCRANE (CHINA) CO.LTD ХК
178;ҮйлАжиллагааныЧиглэл;Ачаа өргөх кран, төрөл бүрийн өргүүрийн угсралтын ажил, засвар, техникийн үйлчилгээ
179;Оролцогч;EUROIL Industrial and Trade Co. Ltd ХХК
180;ҮйлАжиллагааныЧиглэл;Аудитын үйл ажиллагаа /2012.03.07-2015.02.03/
181;Оролцогч;EXCELLENT APPROACH (HK) CO., LTD ХХК
182;ҮйлАжиллагааныЧиглэл;"Га;аад,доттод худалдаа"
183;Оролцогч;Edda Systems AS ХХК
184;Оролцогч;Envision Energy Co Ltd ХХК
185;ҮйлАжиллагааныЧиглэл;Эрчим хүчний тоног төхөөрөмжийн үйлдвэрлэл,  худалдаа
186;Оролцогч;Erenhot Gegen Import & Export Trading Co.Ltd ХХК
187;ҮйлАжиллагааныЧиглэл;Гадаад худалдаа эрхлэх
188;Оролцогч;Erenhot Haoxiuqi Import and Export Trade Co., Ltd ХХК
189;ҮйлАжиллагааныЧиглэл;Гадаад худалдаа эрхэлэх
190;Оролцогч;Erenhot Tianshuo Minerals Products Import and Export Co Ltd ХХК
191;ҮйлАжиллагааныЧиглэл;Гадаад худалдаа, экспорт, импорт
192;Оролцогч;Erenhot creovate new material co ltd ХХК
193;Оролцогч;Erlian Brother Technology Co.,Ltd ХХК
194;ҮйлАжиллагааныЧиглэл;Тоног төхөөрөмж, сэлбэг материалын бөөний худалдаа
195;Оролцогч;Erlian Tianzhu industry and Trade CO.LTD ХХК
196;ҮйлАжиллагааныЧиглэл;Барилгын материал үйлдвэрлэл
197;Оролцогч;Erlianhot city huaxinyuan import and export trade ХХК
198;Оролцогч;FAW CHINA IMPORT AND EXPORT CO,LTD ХК
199;Оролцогч;Famur Famak S.A. ХК
200;ҮйлАжиллагааныЧиглэл;Тоног төхөөрөмж үйлдвэрлэх
201;Оролцогч;Frequentis AG ХК
202;Оролцогч;Frequentis Comsoft GmbH ХХК
203;Оролцогч;Fujian Hongchun Technology Co LTD ХХК
204;Оролцогч;GEOMIN, s.r.o. ХХК
205;ҮйлАжиллагааныЧиглэл;Геологи
206;Оролцогч;GEOtest, a.s. ХК
207;Оролцогч;GUGA IT Services Private Limited Бусад
208;ҮйлАжиллагааныЧиглэл;Монгол улсын нутаг дэвсгэрт харилцаа холбооны сүлжээ, дэд бүтцийн суурилуулалт, засвар үйлчилгээ
209;Оролцогч;Gadaad baiguullaga ХК
210;Оролцогч;Gangzhou Shenyu Plastic Industry Co.,Ltd ХХК
211;ҮйлАжиллагааныЧиглэл;Даацын шуудай үйлдвэрлэл
212;Оролцогч;Gansu nabowang chemical products  ХХК
213;ҮйлАжиллагааныЧиглэл;Нефть,химийн бүтээгдэхүүний худалдаа
214;Оролцогч;Gemac engineering machinery Co Ltd ХК
215;Оролцогч;Gesellschaft für Consulting, Business und Management mbH ХХК
216;ҮйлАжиллагааныЧиглэл;Менежментийн зөвлөх үйлчилгээ
217;Оролцогч;Goldpro New Materials Co.,LTD ХХК
218;ҮйлАжиллагааныЧиглэл;Гадаад дотоод худалдаа
219;Оролцогч;Guangdong Communication Planning & Design Institute Group Co Ltd ХХК
220;Оролцогч;Guangzhou Metro Design & Research Institute Co Ltd  ХХК
221;ҮйлАжиллагааныЧиглэл;Дизайн
222;Оролцогч;Guangzhou Metro Group Co Ltd ХХК
223;Оролцогч;Guizhou Zhonglufeng Construction engineering LLC ХХК
